[34m[1mdetect: [0mweights=['/kaggle/working/yolov5/detection/car-detection/weights/best.pt'], source=/kaggle/input/video-data/traffic_test.mp4, data=data/coco128.yaml, imgsz=[640, 640], conf_thres=0.25, iou_thres=0.45, max_det=1000, device=, view_img=False, save_txt=False, save_format=0, save_csv=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=detection, name=traffic_test_inference, exist_ok=True, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False, vid_stride=1
YOLOv5 🚀 v7.0-421-g79c4c31d Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)

Fusing layers... 
Model summary: 157 layers, 7015519 parameters, 0 gradients, 15.8 GFLOPs
video 1/1 (180/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 10 not-cars, 7.5ms
video 1/1 (181/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 7 not-cars, 7.5ms
video 1/1 (182/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.5ms
video 1/1 (183/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.5ms
video 1/1 (184/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.5ms
video 1/1 (185/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.5ms
video 1/1 (186/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.5ms
video 1/1 (187/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.5ms
video 1/1 (188/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 12 not-cars, 7.5ms
video 1/1 (189/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 12 not-cars, 7.5ms
video 1/1 (190/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 14 not-cars, 7.5ms
video 1/1 (191/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 12 not-cars, 7.5ms
video 1/1 (192/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 10 not-cars, 7.5ms
video 1/1 (193/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.5ms
video 1/1 (194/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.5ms
video 1/1 (195/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.5ms
video 1/1 (196/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.5ms
video 1/1 (197/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 10 not-cars, 9.8ms
video 1/1 (198/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 8.4ms
video 1/1 (199/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.7ms
video 1/1 (200/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (201/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (202/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 9 not-cars, 7.5ms
video 1/1 (203/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (204/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 9 not-cars, 7.5ms
